gemm	full@1	1	1	RESULT workload=gemm size=8192 samples=227 tflops=694.0 ms_median=1.5842 ms_mean=1.5912 ms_p95=1.6445 ms_std=0.0372
gemm	baseline	-	2	RESULT workload=gemm size=8192 samples=226 tflops=692.8 ms_median=1.5871 ms_mean=1.5926 ms_p95=1.6599 ms_std=0.0460
gemm	dev@1	1	2	RESULT workload=gemm size=8192 samples=226 tflops=692.8 ms_median=1.5870 ms_mean=1.5929 ms_p95=1.6621 ms_std=0.0444
gemm	full@1	1	2	RESULT workload=gemm size=8192 samples=227 tflops=693.6 ms_median=1.5853 ms_mean=1.5924 ms_p95=1.6634 ms_std=0.0396
mem	baseline	-	1	RESULT workload=mem_addscale bytes=3221225472 samples=174 gbps=3106.0 ms_median=1.0371 ms_mean=1.0373 ms_p95=1.0373 ms_std=0.0012
mem	dev@1	1	1	RESULT workload=mem_addscale bytes=3221225472 samples=174 gbps=3105.5 ms_median=1.0373 ms_mean=1.0376 ms_p95=1.0375 ms_std=0.0016
mem	full@1	1	1	RESULT workload=mem_addscale bytes=3221225472 samples=174 gbps=3106.2 ms_median=1.0370 ms_mean=1.0374 ms_p95=1.0375 ms_std=0.0019
mem	baseline	-	2	RESULT workload=mem_addscale bytes=3221225472 samples=174 gbps=3105.8 ms_median=1.0372 ms_mean=1.0376 ms_p95=1.0376 ms_std=0.0019
mem	dev@1	1	2	RESULT workload=mem_addscale bytes=3221225472 samples=174 gbps=3105.6 ms_median=1.0372 ms_mean=1.0373 ms_p95=1.0374 ms_std=0.0001
mem	full@1	1	2	RESULT workload=mem_addscale bytes=3221225472 samples=174 gbps=3105.7 ms_median=1.0372 ms_mean=1.0372 ms_p95=1.0374 ms_std=0.0001
comm	baseline	-	1	RESULT workload=comm_nccl size_mb=256 samples=360 gbps=299.5 ms_median=0.8961 ms_mean=0.8962 ms_p95=0.8986 ms_std=0.0015
comm	dev@1	1	1	RESULT workload=comm_nccl size_mb=256 samples=360 gbps=300.0 ms_median=0.8948 ms_mean=0.8950 ms_p95=0.8973 ms_std=0.0014
comm	full@1	1	1	RESULT workload=comm_nccl size_mb=256 samples=360 gbps=300.0 ms_median=0.8948 ms_mean=0.8949 ms_p95=0.8970 ms_std=0.0013
comm	baseline	-	2	RESULT workload=comm_nccl size_mb=256 samples=360 gbps=300.9 ms_median=0.8921 ms_mean=0.8922 ms_p95=0.8945 ms_std=0.0014
comm	dev@1	1	2	RESULT workload=comm_nccl size_mb=256 samples=360 gbps=300.1 ms_median=0.8945 ms_mean=0.8946 ms_p95=0.8971 ms_std=0.0015
comm	full@1	1	2	RESULT workload=comm_nccl size_mb=256 samples=360 gbps=300.2 ms_median=0.8942 ms_mean=0.8942 ms_p95=0.8964 ms_std=0.0014
